log_cum_returns,total_trades,winning_trades,losing_trades,win_ratio,profit_factor,best_win,worst_loss,max_winning_streak,max_losing_streak,avg_winning_streak,avg_losing_streak,long_wins,long_losses,short_wins,short_losses,total_profit,total_loss,kappa,lookback
3.0877457706868707,21035,10707,10328,0.5090087948657,1.0580524507886666,0.20103321417478348,-0.16028033154146293,11,9,1.8692388268156424,1.803072625698324,4698,4368,5900,5847,56.276641824833824,53.18889605414695,0.075,96
4.003319014446907,20853,10679,10174,0.5121085695103822,1.0752705178807929,0.20103321417478348,-0.16028033154146293,11,9,1.8860826563051925,1.7968915577534441,4997,4627,5591,5454,57.189069918765355,53.18575090431845,0.075,120
3.6016219647279044,21248,10869,10379,0.5115304969879518,1.066626151538975,0.20103321417478348,-0.16028033154146293,11,9,1.8856696738376129,1.8006592643997223,5051,4678,5720,5631,57.65880343979806,54.057181475070166,0.075,144
2.505433456236709,22397,11405,10992,0.5092199848193955,1.0441571289937088,0.20103321417478348,-0.16028033154146293,11,9,1.8742810188989318,1.8061123890897142,5539,5158,5785,5772,59.24448133667451,56.739047880437795,0.075,168
2.2248651649574533,23120,11746,11374,0.5080449826989619,1.0375986973125544,0.20103321417478348,-0.16028033154146293,11,9,1.8662217985382905,1.8068308181096109,5712,5343,5961,5976,61.39886118036114,59.173996015403674,0.075,192
1.5059080597720929,22804,11556,11248,0.5067532011927732,1.0256398914516869,0.20103321417478348,-0.16028033154146293,11,9,1.8614690721649485,1.811563858914479,5744,5381,5749,5810,60.23892035078267,58.733012291010574,0.075,216
2.0628561994922947,22765,11578,11187,0.5085877443443884,1.035293164747003,0.20103321417478348,-0.16028033154146293,11,9,1.8680219425621167,1.8049370764762827,5820,5417,5695,5718,60.51202657794231,58.44917037845002,0.075,240
4.1873564852377765,21745,11085,10660,0.5097723614624051,1.0768992017415926,0.20103321417478348,-0.16028033154146293,11,10,1.8712018906144496,1.799459824442944,4843,4481,6115,6065,58.639891627393276,54.4525351421555,0.1,96
4.113502701913777,21050,10766,10284,0.5114489311163896,1.077119052828103,0.20103321417478348,-0.16028033154146293,11,9,1.8831555011369598,1.798845548364527,4954,4579,5714,5604,57.45314512572188,53.33964242380811,0.1,120
4.183477175606312,21049,10778,10271,0.5120433274739893,1.0788763345294747,0.20103321417478348,-0.16028033154146293,11,9,1.8839363747596574,1.795315504282468,5211,4807,5459,5389,57.22191006631078,53.03843289070447,0.1,144
3.197771864934044,22115,11281,10834,0.5101062627176125,1.0574028915693265,0.20103321417478348,-0.16028033154146293,11,9,1.8789140572951366,1.8041631973355536,5524,5126,5668,5634,58.905276792138665,55.70750492720462,0.1,168
2.3904656623453597,23080,11756,11324,0.5093587521663778,1.0408862162172325,0.20103321417478348,-0.16028033154146293,11,9,1.874362244897959,1.805484693877551,5532,5111,6142,6160,60.856762705940355,58.46629704359499,0.1,192
1.3296289676154647,22776,11564,11212,0.5077274323849666,1.0228176047413928,0.20103321417478348,-0.16028033154146293,11,9,1.8684763289707547,1.811601227985135,5524,5128,5967,6026,59.60169488711231,58.27206591949684,0.1,216
1.547843369518473,22329,11352,10977,0.5083971516861481,1.0272450497001757,0.20103321417478348,-0.16028033154146293,11,9,1.8720316622691293,1.8101912928759893,5528,5149,5755,5775,58.35975549858644,56.81191212906796,0.1,240
4.505069811540258,21787,11102,10685,0.5095699270207004,1.082566933800082,0.20103321417478348,-0.16028033154146293,11,10,1.8718597201146518,1.8018549747048904,4821,4435,6153,6125,59.0677089238066,54.56263911226634,0.125,96
5.0921122723817955,21278,10927,10351,0.5135351066829589,1.0955603122675794,0.20103321417478348,-0.16028033154146293,11,9,1.8898305084745763,1.7905206711641584,4912,4455,5908,5792,58.379006711605854,53.286894439224056,0.125,120
4.940139776214654,21244,10891,10353,0.5126623987949539,1.0934182057609598,0.20103321417478348,-0.16028033154146293,11,9,1.8839301158969037,1.790866632070576,4935,4504,5847,5758,57.822120713159435,52.88198093694478,0.125,144
3.5503151639034574,22542,11486,11056,0.5095377517522847,1.0630918397916307,0.20103321417478348,-0.16028033154146293,11,9,1.8731245923026745,1.8030006523157207,5428,5036,5964,5942,59.822491972011385,56.27217680810793,0.125,168
2.5689593275028777,23414,11930,11484,0.5095242162808576,1.0434764532642942,0.20103321417478348,-0.16028033154146293,11,9,1.87667138587384,1.806228373702422,5595,5160,6262,6253,61.65748046068102,59.08852113317815,0.125,192
1.8805295883992859,23280,11829,11451,0.5081185567010309,1.031699451605438,0.20103321417478348,-0.16028033154146293,11,9,1.8719734135147967,1.811867088607595,5647,5223,6124,6150,61.20425580947632,59.32372622107704,0.125,216
1.8406342123214738,22656,11491,11165,0.5071945621468926,1.031989873487998,0.20103321417478348,-0.16028033154146293,11,9,1.8666341780376867,1.8133831411401657,5573,5206,5847,5900,59.37866145747586,57.53802724515439,0.125,240
4.615262369537373,22006,11194,10812,0.5086794510588022,1.0835198600382934,0.20103321417478348,-0.16028033154146293,11,10,1.8709677419354838,1.8074222668004012,4844,4484,6224,6187,59.87472242396413,55.25946005442675,0.15,96
4.741840002542462,21805,11166,10639,0.5120843843155239,1.087274504460182,0.20103321417478348,-0.16028033154146293,11,9,1.884875084402431,1.7962181327030222,5186,4749,5869,5776,59.07431695984059,54.332476957298134,0.15,120
4.844343098876951,21660,11058,10602,0.5105263157894737,1.0898513674287824,0.20103321417478348,-0.16028033154146293,11,9,1.87201625190452,1.7948197054342305,4990,4597,5958,5908,58.75941682011615,53.915073721239196,0.15,144
3.0109887338201577,22837,11582,11255,0.5071594342514341,1.0525548375920237,0.20103321417478348,-0.16028033154146293,11,9,1.8623572921691591,1.8097764913973307,5434,5114,6052,6056,60.30331179633368,57.29232306251353,0.15,168
2.6498678827799473,23535,11923,11612,0.5066071807945612,1.0443885823069243,0.20103321417478348,-0.16028033154146293,11,9,1.865008603159706,1.8160775727244292,5569,5245,6275,6290,62.34692836688056,59.69706048410062,0.15,192
1.781053715238091,23502,11896,11606,0.5061696876861543,1.0296306471788483,0.20103321417478348,-0.16028033154146293,11,9,1.861658841940532,1.8159912376779848,5541,5190,6284,6339,61.88955234126496,60.10849862602687,0.15,216
1.9356354104284854,23186,11744,11442,0.5065125506771327,1.0327876095999002,0.20103321417478348,-0.16028033154146293,11,9,1.8596991290577989,1.811589613679544,5600,5254,6077,6112,60.97121116750887,59.03557575708038,0.15,240
4.437186129704257,22265,11300,10965,0.5075230181899842,1.0794337787144992,0.20103321417478348,-0.16028033154146293,11,10,1.8680773681600265,1.8129960317460319,4893,4563,6272,6259,60.29737812248835,55.860191992784095,0.175,96
5.027908577860371,21850,11182,10668,0.5117620137299771,1.0924340892430995,0.20103321417478348,-0.16028033154146293,11,9,1.8843950117964274,1.7980785437384124,5101,4704,5961,5847,59.422435738041415,54.39452716018104,0.175,120
4.340228464318221,21985,11185,10800,0.5087559699795315,1.0792597211109884,0.20103321417478348,-0.16028033154146293,11,9,1.866344068079426,1.802102452861672,5014,4665,6064,6027,59.099801214272006,54.75957274995379,0.175,144
3.7796889898360604,23101,11715,11386,0.5071209038569758,1.0657835006777423,0.20103321417478348,-0.16028033154146293,11,9,1.861296472831268,1.8090244677470606,5552,5232,6057,6068,61.23617809265618,57.45648910282012,0.175,168
3.4816728724970094,23715,12018,11697,0.5067678684376976,1.0582715108419338,0.20103321417478348,-0.16028033154146293,11,9,1.8623895862389586,1.8126452812645282,5640,5291,6291,6324,63.23081653107364,59.749143658576635,0.175,192
2.6448103592689183,23742,12040,11702,0.5071181871788392,1.0437716443661504,0.20103321417478348,-0.16028033154146293,11,9,1.8669561172274771,1.814263565891473,5600,5243,6360,6382,63.06772564079332,60.4229152815244,0.175,216
2.6346693530383583,23083,11696,11387,0.5066932374474722,1.0449914021237974,0.20103321417478348,-0.16028033154146293,11,9,1.8618274434893347,1.8126392868513213,5771,5422,5857,5885,61.19406578591363,58.55939643287527,0.175,240
4.225210705254009,22355,11309,11046,0.5058823529411764,1.0752970459001416,0.20103321417478348,-0.16028033154146293,11,10,1.8627903146104432,1.8194696096195027,4814,4532,6351,6367,60.33910806661203,56.11389736135801,0.2,96
3.8762290574377616,22306,11362,10944,0.5093696763202725,1.0693637442072825,0.20103321417478348,-0.16028033154146293,11,9,1.8727542442722926,1.8038569309378605,5019,4667,6213,6156,59.758867772185724,55.88263871474796,0.2,120
4.256788471269713,22116,11263,10853,0.5092693072888407,1.0772816693344553,0.20103321417478348,-0.16028033154146293,11,9,1.8684472461844726,1.8001326919887213,5064,4694,6084,6049,59.3382652034482,55.08147673217849,0.2,144
3.4987711818348686,22842,11555,11287,0.5058663864810437,1.0613377344466781,0.20103321417478348,-0.16028033154146293,11,9,1.853842451467993,1.8108454997593455,5302,5012,6138,6183,60.53986038079121,57.04108919895634,0.2,168
3.278402030175503,23887,12098,11789,0.5064679532800268,1.054378776027522,0.20103321417478348,-0.16028033154146293,11,9,1.8618036318867344,1.81425053862727,5700,5355,6304,6351,63.56666649049083,60.288264460315325,0.2,192
3.012190340279366,23574,11939,11635,0.5064477814541444,1.0501836644950526,0.20103321417478348,-0.16028033154146293,11,9,1.8634306227563602,1.8159825191197128,5625,5303,6229,6254,63.035514076957256,60.02332373667789,0.2,216
2.809852313288916,23010,11649,11361,0.50625814863103,1.0478107357835946,0.20103321417478348,-0.16028033154146293,11,9,1.861457334611697,1.8154362416107384,5568,5246,6012,6030,61.58017381612283,58.77032150283392,0.2,240
